DATE,STOCK,CLOSE
2009-12-04,BOVA11.SA,67.5
2009-12-07,BOVA11.SA,68.16000366210938
2009-12-08,BOVA11.SA,67.19999694824219
2009-12-09,BOVA11.SA,67.30000305175781
2009-12-10,BOVA11.SA,68.25
2009-12-11,BOVA11.SA,68.7300033569336
2009-12-14,BOVA11.SA,69.0
2009-12-15,BOVA11.SA,68.94999694824219
2009-12-16,BOVA11.SA,68.19999694824219
2009-12-17,BOVA11.SA,66.5999984741211
2009-12-18,BOVA11.SA,66.5
2009-12-21,BOVA11.SA,66.5
2009-12-22,BOVA11.SA,67.0
2009-12-23,BOVA11.SA,67.25
2009-12-28,BOVA11.SA,67.9000015258789
2009-12-29,BOVA11.SA,67.94000244140625
2009-12-30,BOVA11.SA,68.5
2010-01-04,BOVA11.SA,69.37000274658203
2010-01-05,BOVA11.SA,69.9000015258789
2010-01-06,BOVA11.SA,70.30000305175781
2010-01-07,BOVA11.SA,70.0
2010-01-08,BOVA11.SA,69.4800033569336
2010-01-11,BOVA11.SA,69.98999786376953
2010-01-12,BOVA11.SA,69.69999694824219
2010-01-13,BOVA11.SA,70.0
2010-01-14,BOVA11.SA,69.5
2010-01-15,BOVA11.SA,68.5
2010-01-18,BOVA11.SA,68.9000015258789
2010-01-19,BOVA11.SA,68.12000274658203
2010-01-20,BOVA11.SA,67.69999694824219
2010-01-21,BOVA11.SA,65.9000015258789
2010-01-22,BOVA11.SA,65.58999633789062
2010-01-26,BOVA11.SA,64.9800033569336
2010-01-27,BOVA11.SA,64.9000015258789
2010-01-28,BOVA11.SA,65.19999694824219
2010-01-29,BOVA11.SA,64.9000015258789
2010-02-01,BOVA11.SA,66.05000305175781
2010-02-02,BOVA11.SA,66.69999694824219
2010-02-03,BOVA11.SA,66.58999633789062
2010-02-04,BOVA11.SA,63.400001525878906
2010-02-05,BOVA11.SA,62.0
2010-02-08,BOVA11.SA,62.599998474121094
2010-02-09,BOVA11.SA,64.08999633789062
2010-02-10,BOVA11.SA,64.55000305175781
2010-02-11,BOVA11.SA,65.5999984741211
2010-02-12,BOVA11.SA,65.5999984741211
2010-02-17,BOVA11.SA,66.94000244140625
2010-02-18,BOVA11.SA,67.5999984741211
2010-02-19,BOVA11.SA,67.4000015258789
2010-02-22,BOVA11.SA,67.0
2010-02-23,BOVA11.SA,66.0
2010-02-24,BOVA11.SA,65.5999984741211
2010-02-25,BOVA11.SA,66.0
2010-02-26,BOVA11.SA,66.5
2010-03-01,BOVA11.SA,67.19999694824219
2010-03-02,BOVA11.SA,67.13999938964844
2010-03-03,BOVA11.SA,67.4000015258789
2010-03-04,BOVA11.SA,67.30000305175781
2010-03-05,BOVA11.SA,68.5
2010-03-08,BOVA11.SA,67.83999633789062
2010-03-09,BOVA11.SA,69.19999694824219
2010-03-10,BOVA11.SA,69.69999694824219
2010-03-11,BOVA11.SA,69.5
